label,xmin,ymin,xmax,ymax
0,37,240,53,256
3,91,100,117,140
3,207,178,262,246
9,179,130,210,174
6,173,74,188,95
6,57,109,113,171
5,88,12,115,52
0,135,137,207,209
1,144,191,170,260
7,115,75,162,141
4,83,177,112,212
9,34,148,55,174
6,198,91,236,153
9,79,66,110,112
5,112,156,156,209
7,163,261,192,298
0,87,264,113,287
9,240,248,261,270
9,35,52,47,65
1,184,185,211,255
7,41,164,75,212
5,51,149,110,222
0,62,100,86,122
4,199,238,218,257
7,246,183,269,206
9,48,58,97,133
7,113,202,156,270
4,217,120,275,178
0,37,236,69,268
